superregion2,iso3,countryname,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
SAARC,AFG,Afghanistan,0,999,999,2,78.389191,175.47273,79.954269,7.0676675,40.482292,220.67641,33.776108,65.07312,499.49066,2134.4871,139.69196
SAARC,AFG,Afghanistan,0,999,999,3,93.141533,195.96938,86.664017,8.183485,47.113419,194.62903,41.969067,65.557159,530.80884,2222.522,171.73566
SAARC,AFG,Afghanistan,0,999,999,999,70.498764,171.64891,75.803047,6.342576,37.158722,200.45644,28.442926,63.859348,490.09238,2093.1724,120.33492
SAARC,AFG,Afghanistan,1,0,0,1,58.065865,124.81721,54.639736,4.7583995,29.259073,213.24969,21.577694,53.03669,449.23727,2007.1501,110.16872
SAARC,AFG,Afghanistan,1,0,0,2,72.587204,133.59923,59.152779,5.7789569,35.633072,236.8526,30.887573,54.616753,469.776,2111.8511,151.18558
SAARC,AFG,Afghanistan,1,0,0,3,86.295776,147.91425,65.402817,6.8839641,41.789474,207.50606,38.320419,55.208778,502.24249,2183.3855,184.92096
SAARC,AFG,Afghanistan,1,0,0,999,65.397804,130.18694,57.22739,5.2956729,32.498966,217.14909,26.067745,53.694771,461.63837,2055.7737,130.10416
SAARC,AFG,Afghanistan,1,0,1,1,68.145653,130.33295,57.982277,5.0282736,35.216656,171.58957,28.414707,54.340439,474.64462,1958.121,129.95284
SAARC,AFG,Afghanistan,1,0,1,2,85.683357,139.04837,64.90593,6.3245625,42.153664,193.6248,39.975632,55.715782,496.90509,2057.0952,178.59082
SAARC,AFG,Afghanistan,1,0,1,3,101.42599,154.64452,70.471542,7.6507449,48.91951,168.96747,49.994751,56.230751,527.90259,2129.8438,220.10104
SAARC,AFG,Afghanistan,1,0,1,999,76.874245,135.87778,61.327366,5.6986904,38.752922,175.65552,34.112957,54.913204,487.43448,2004.8813,153.82637
SAARC,AFG,Afghanistan,1,0,999,1,60.4585,126.12648,55.433155,4.8224592,30.673223,203.36082,23.200596,53.346157,455.26819,1995.512,114.86487
SAARC,AFG,Afghanistan,1,0,999,2,75.695831,134.89268,60.518402,5.9084668,37.180862,226.59161,33.044804,54.877628,476.21561,2098.8535,157.69075
SAARC,AFG,Afghanistan,1,0,999,3,89.88723,149.51181,66.60598,7.0659752,43.48193,198.35815,41.091557,55.451363,508.33344,2170.6763,193.27167
SAARC,AFG,Afghanistan,1,0,999,999,68.121964,131.53777,58.200603,5.3913369,33.983467,207.29977,27.977436,53.98399,467.7616,2043.6935,135.73511
SAARC,AFG,Afghanistan,1,1,0,1,65.582985,210.46722,90.360992,6.5070696,40.554451,136.14861,23.083408,65.318817,510.85718,2191.647,80.278824
SAARC,AFG,Afghanistan,1,1,0,2,82.720993,225.95103,101.37956,8.296217,49.034145,152.16562,32.793224,67.314217,535.65668,2292.7351,110.52415
